name,url,duration,test_type,remote_testing,adaptive_irt
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,N/A,P,Yes,No
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,N/A,P,Yes,No
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,N/A,S,Yes,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,N/A,K,Yes,No
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,N/A,K,Yes,No
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,N/A,K,Yes,No
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,N/A,K,Yes,No
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,N/A,K,Yes,Yes
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,N/A,P,Yes,No
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,N/A,K,Yes,No
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,N/A,K,Yes,No
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,N/A,K,Yes,No
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,N/A,P,Yes,No
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,N/A,P,Yes,No
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,N/A,K,Yes,No
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,N/A,K,Yes,No
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,N/A,K,Yes,No
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,N/A,P,Yes,No
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,N/A,K,Yes,No
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,N/A,K,Yes,No
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,N/A,K,Yes,No
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,N/A,K,Yes,No
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,N/A,K,Yes,No
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,N/A,K,Yes,No
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,N/A,K,Yes,No
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,N/A,K,Yes,No
Social Media (New),https://www.shl.com/solutions/products/product-catalog/view/social-media-new/,N/A,K,Yes,No
Software Business Analysis,https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis/,N/A,K,Yes,Yes
SonarQube (New),https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new/,N/A,K,Yes,No
Spelling (U.S.) (New),https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new/,N/A,K,Yes,No
Split Screen Typing Test - Form 1,https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1/,N/A,"A, K",Yes,No
Spring (New),https://www.shl.com/solutions/products/product-catalog/view/spring-new/,N/A,K,Yes,No
SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new/,N/A,K,Yes,No
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,N/A,K,Yes,No
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,N/A,K,Yes,No
SQL Server Integration Services (SSIS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/,N/A,K,Yes,No
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,N/A,K,Yes,No
Statistical Analysis System (New),https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new/,N/A,K,Yes,No
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,N/A,B,Yes,No
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,N/A,K,Yes,No
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,N/A,K,Yes,No
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,N/A,K,Yes,No
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,N/A,K,Yes,No
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,N/A,K,Yes,No
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,N/A,K,Yes,No
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,N/A,K,Yes,No
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,N/A,K,Yes,No
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,N/A,K,Yes,No
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,N/A,K,Yes,No
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,N/A,K,Yes,No
Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,N/A,K,Yes,No
Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/,N/A,K,Yes,Yes
Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development/,N/A,K,Yes,Yes
Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new/,N/A,S,Yes,No
UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/,N/A,K,Yes,No
Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,N/A,"C, P",Yes,No
Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,N/A,"C, P",Yes,No
Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,N/A,"C, P",Yes,No
UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new/,N/A,K,Yes,No
VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,N/A,K,Yes,No
Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/,N/A,A,Yes,Yes
Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,N/A,A,Yes,No
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,N/A,"C, P",Yes,No
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,N/A,"C, P",Yes,No
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,N/A,C,Yes,No
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,N/A,K,Yes,No
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,N/A,K,Yes,No
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,N/A,K,Yes,No
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,N/A,K,Yes,No
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,N/A,K,Yes,No
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,N/A,K,Yes,No
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,N/A,K,Yes,No
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,N/A,K,Yes,No
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,N/A,K,Yes,No
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,N/A,K,Yes,No
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,N/A,K,Yes,Yes
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,N/A,K,Yes,Yes
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,N/A,K,Yes,No
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,N/A,K,Yes,No
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,N/A,K,Yes,Yes
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,N/A,K,Yes,No
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,N/A,K,Yes,No
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,N/A,K,Yes,No
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,N/A,K,Yes,Yes
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,N/A,K,Yes,No
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,N/A,K,Yes,No
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,N/A,K,Yes,Yes
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,N/A,K,Yes,Yes
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,N/A,K,Yes,No
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,N/A,D,Yes,No
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,N/A,"D, P",Yes,No
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,N/A,K,Yes,No
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,N/A,"A, P",Yes,No
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,N/A,P,Yes,No
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,N/A,P,Yes,No
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,N/A,"A, P",Yes,No
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,N/A,"A, P",Yes,No
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,N/A,K,Yes,No
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,N/A,K,Yes,No
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,N/A,K,Yes,No
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,N/A,K,Yes,No
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,N/A,K,Yes,No
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,N/A,K,Yes,No
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,N/A,D,Yes,No
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,N/A,D,Yes,No
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,N/A,D,Yes,No
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,N/A,D,Yes,No
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,N/A,K,Yes,No
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,N/A,K,Yes,No
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,N/A,K,Yes,No
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,N/A,"K, S",Yes,No
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,N/A,"K, S",Yes,No
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,N/A,K,Yes,Yes
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,N/A,"K, S",Yes,No
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,N/A,K,Yes,Yes
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,N/A,K,Yes,Yes
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,N/A,"K, S",Yes,No
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,N/A,"S, K",Yes,No
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,N/A,K,Yes,No
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,N/A,K,Yes,No
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,N/A,K,Yes,No
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,N/A,K,Yes,No
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,N/A,K,Yes,No
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,N/A,P,Yes,No
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,N/A,P,Yes,No
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,N/A,P,Yes,No
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,N/A,P,Yes,No
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,N/A,S,Yes,No
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,N/A,S,Yes,No
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,N/A,S,Yes,No
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,N/A,S,Yes,No
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,N/A,S,Yes,No
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,N/A,K,Yes,No
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,N/A,K,Yes,No
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,N/A,K,Yes,No
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,N/A,"S, K",Yes,No
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,N/A,K,Yes,No
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,N/A,K,Yes,No
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,N/A,K,Yes,No
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,N/A,P,Yes,No
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,N/A,K,Yes,No
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,N/A,P,Yes,No
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,N/A,P,Yes,No
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,N/A,P,Yes,No
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,N/A,P,Yes,No
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,N/A,P,Yes,No
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,N/A,P,Yes,No
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,N/A,P,Yes,No
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,N/A,P,Yes,No
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/,N/A,P,Yes,No
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,N/A,P,Yes,No
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,N/A,P,Yes,No
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,N/A,P,Yes,No
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,N/A,P,Yes,No
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,N/A,P,Yes,No
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,N/A,P,Yes,No
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,N/A,P,Yes,No
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,N/A,P,Yes,No
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,N/A,P,Yes,No
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,N/A,P,Yes,No
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,N/A,P,Yes,No
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,N/A,P,Yes,No
OPQ User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/,N/A,"P, S",Yes,No
Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,N/A,K,Yes,No
Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,N/A,K,Yes,No
Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,N/A,K,Yes,No
Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,N/A,K,Yes,No
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,N/A,K,Yes,No
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,N/A,K,Yes,No
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,N/A,K,Yes,No
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,N/A,K,Yes,No
Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new/,N/A,K,Yes,No
Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/,N/A,K,Yes,No
Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/,N/A,K,Yes,No
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,N/A,K,Yes,No
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,N/A,K,Yes,No
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/,N/A,K,Yes,No
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,N/A,K,Yes,No
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/,N/A,K,Yes,No
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/,N/A,K,Yes,No
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/,N/A,"C, A, P",Yes,No
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/,N/A,"A, C, P",Yes,No
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,N/A,K,Yes,No
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/,N/A,K,Yes,No
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/,N/A,K,Yes,No
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/,N/A,K,Yes,No
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,N/A,K,Yes,No
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/,N/A,K,Yes,No
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/,N/A,K,Yes,Yes
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,N/A,K,Yes,Yes
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/,N/A,K,Yes,No
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,N/A,K,Yes,No
R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/,N/A,K,Yes,No
ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/,N/A,K,Yes,No
Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,N/A,A,Yes,Yes
Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,N/A,A,Yes,Yes
Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/,N/A,A,Yes,Yes
RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/,N/A,C,Yes,No
RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/,N/A,C,Yes,No
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,N/A,C,Yes,No
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,N/A,K,Yes,No
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,N/A,"B, K, S, A",Yes,No
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,N/A,K,Yes,No
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,N/A,K,Yes,No
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,N/A,K,Yes,No
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,N/A,"S, B",Yes,No
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,N/A,"B, P, S",Yes,No
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,N/A,"P, P",Yes,No
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,N/A,P,Yes,No
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,N/A,P,Yes,No
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,N/A,P,Yes,No
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,N/A,"C, P, A, B",Yes,Yes
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,N/A,"A, K, P",Yes,Yes
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,N/A,"A, B, P, S",Yes,Yes
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,N/A,"B, P",Yes,No
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,N/A,"B, P",Yes,No
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,N/A,"A, B, K, P",Yes,No
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,N/A,"A, B, P",Yes,No
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,N/A,"A, B, P, S",Yes,Yes
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,N/A,"B, P, S, A",Yes,Yes
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,N/A,"P, S, K, B, A",Yes,Yes
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,N/A,"A, B, P",Yes,No
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,N/A,"B, A, P",Yes,Yes
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,N/A,K,Yes,No
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,N/A,K,Yes,No
Shell Scripting (New),https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new/,N/A,K,Yes,No
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,N/A,"A, S",Yes,Yes
